n1   ,0.0666719,0.0610309,5.8365e-05,0.0687742  ,0.0684705,0.0804432,0.0633548,0.0468636,0.0681903,0.0557858   ,n557,n2,_
n2   ,0.0697774,0.0644714,5.50496e-05,0.0529878  ,0.0726714,0.0571853,0.0684705,0.0804432,0.0681903,0.0557858   ,n1,n175,n556
n3   ,0.190375,0.0557619,2.49883e-05,0.0311002  ,0.196038,0.0530742,0.193195,0.0573656,0.181893,0.056846   ,n137,n4,n364
n4   ,0.192262,0.0522613,3.86137e-05,0.0411377  ,0.198854,0.0468636,0.196038,0.0530742,0.181893,0.056846   ,n3,n587,n443
n5   ,0.0614441,-0.0819282,9.67092e-05,0.0620653  ,0.0516078,-0.0875012,0.0789583,-0.0785598,0.0537661,-0.0797237   ,n6,n106,_
n6   ,0.0647356,-0.076579,9.96826e-05,0.0553954  ,0.0537661,-0.0797237,0.0789583,-0.0785598,0.0614825,-0.0714534   ,n457,n268,n5
n7   ,-0.407253,-0.0126875,0.000227944,0.0713509  ,-0.414444,-0.0264774,-0.39657,-0.0133329,-0.410746,0.00174785   ,n426,n82,n73
n8   ,-0.145721,-0.00068599,0.000443288,0.0970565  ,-0.143118,-0.016883,-0.129349,0.0109781,-0.164695,0.00384692   ,n21,n204,n154
n9   ,-0.00906204,-0.00968667,3.91309e-05,0.0288866  ,-0.00599169,-0.00431393,-0.0145105,-0.0107243,-0.00668397,-0.0140218   ,n130,n352,n262
n10   ,-0.0255006,-0.00410839,6.02874e-05,0.0354278  ,-0.0314611,-0.00124017,-0.0253181,-0.0109392,-0.0197226,-0.000145846   ,n34,n163,n109
n11   ,-0.245834,0.00232588,0.000263744,0.0762558  ,-0.239753,-0.0121027,-0.236853,0.00993214,-0.260895,0.00914821   ,n105,n103,n477
n12   ,-0.0723627,-0.0890718,4.31194e-05,0.036372  ,-0.0781777,-0.0906026,-0.0738491,-0.0944066,-0.0650614,-0.0822061   ,n581,n115,_
n13   ,-0.0171411,0.00617196,5.17433e-05,0.0339514  ,-0.0213644,0.00919871,-0.0197226,-0.000145846,-0.0103363,0.00946303   ,n118,n257,n145
n14   ,-0.240413,-0.0551193,0.000551065,0.110893  ,-0.258274,-0.0709271,-0.216997,-0.0549635,-0.245969,-0.0394673   ,n99,n346,n45
n15   ,0.141678,-0.0884602,9.08251e-05,0.0461948  ,0.133137,-0.0954559,0.150466,-0.0883519,0.141431,-0.0815729   ,n486,n216,n585
n16   ,0.075263,0.0836921,8.48933e-05,0.0447888  ,0.0716186,0.0902809,0.0684705,0.0804432,0.0857001,0.0803523   ,n152,n555,_
n17   ,0.19501,0.0776872,7.1112e-05,0.0384956  ,0.200404,0.0825536,0.187582,0.079775,0.197043,0.0707329   ,n196,n117,n22
n18   ,-0.05864,0.025982,0.000315369,0.0826348  ,-0.0762004,0.0207588,-0.0476884,0.0172667,-0.0520311,0.0399205   ,n43,n159,n161
n19   ,-0.212245,-0.0365079,0.000315865,0.0862469  ,-0.221977,-0.0299887,-0.216997,-0.0549635,-0.197762,-0.0245715   ,n25,n379,n99
n20   ,-0.0709772,0.00399433,0.000234746,0.0765326  ,-0.0752774,-0.0121658,-0.0614539,0.00338998,-0.0762004,0.0207588   ,n161,_,n463
n21   ,-0.149981,0.0157949,0.00047607,0.100302  ,-0.1559,0.0325595,-0.164695,0.00384692,-0.129349,0.0109781   ,n8,n285,n191
n22   ,0.194877,0.0829421,3.0507e-05,0.0298519  ,0.200404,0.0825536,0.196646,0.0864977,0.187582,0.079775   ,n84,n17,n552
n23   ,-0.0402807,0.0629085,0.000184782,0.0648479  ,-0.0542455,0.0661524,-0.0385296,0.0536804,-0.028067,0.0688928   ,n410,n136,n108
n24   ,-0.0141896,-0.0170048,3.6677e-05,0.0317575  ,-0.018233,-0.0218695,-0.00668397,-0.0140218,-0.017652,-0.0151232   ,n130,n490,n564
n25   ,-0.198114,-0.0430495,0.000517121,0.10471  ,-0.179581,-0.0496136,-0.197762,-0.0245715,-0.216997,-0.0549635   ,n19,n392,n277
n26   ,-0.0199652,-0.0512261,0.000114753,0.0549844  ,-0.029988,-0.0568153,-0.00655882,-0.0513828,-0.0233486,-0.0454801   ,_,n496,n209
n27   ,0.224892,0.025575,0.0002607,0.0774205  ,0.215381,0.0380752,0.224432,0.00790612,0.234863,0.0307438   ,n254,n429,_
n28   ,0.210306,0.0628916,9.90468e-05,0.0483221  ,0.200789,0.0593306,0.22089,0.0599136,0.209238,0.0694305   ,n467,n165,_
n29   ,-0.421301,0.0503045,0.000425018,0.0970248  ,-0.422177,0.0280077,-0.408199,0.0603397,-0.433527,0.0625661   ,n316,n68,n74
n30   ,-0.0735574,0.0850437,2.80108e-05,0.0299926  ,-0.0747673,0.0896251,-0.0780465,0.0866082,-0.0678583,0.0788977   ,n577,n576,_
n31   ,-0.319192,-0.0241398,0.00032053,0.0883195  ,-0.328278,-0.0438449,-0.304682,-0.0161913,-0.324615,-0.0123833   ,n441,n214,_
n32   ,0.281149,-0.0121864,0.000299175,0.0791514  ,0.295788,-0.00534208,0.267829,-0.00478955,0.279831,-0.0264277   ,n144,n47,n53
n33   ,0.121385,0.0365712,0.000224393,0.0735696  ,0.107297,0.0481753,0.123533,0.0241825,0.133324,0.0373558   ,n509,n50,n58
n34   ,-0.0198504,-0.00726976,5.77239e-05,0.0347601  ,-0.0253181,-0.0109392,-0.0145105,-0.0107243,-0.0197226,-0.000145846   ,n262,n10,n138
n35   ,-0.410769,-0.0648132,0.000116486,0.052245  ,-0.400562,-0.0640101,-0.411889,-0.057293,-0.419855,-0.0731364   ,n300,n147,n88
n36   ,0.268963,0.00956845,0.000189889,0.0642754  ,0.278343,0.0166945,0.260717,0.0168004,0.267829,-0.00478955   ,n37,n53,n306
n37   ,0.259994,0.0046578,0.000152962,0.0579631  ,0.267829,-0.00478955,0.260717,0.0168004,0.251435,0.00196255   ,n201,n127,n36
