8.0,1.0,1.0,1377916994,1880437610,2414529685,2917050301,3338477482,2917050301,2414529685,1880437610,1377916994,956489813
8.0,1.0,0.5,1263643683,1749483631,2281526885,2797547841,3242335179,3031323612,2545483664,2013440410,1497419454,1052632116
8.0,1.0,0.25,1208627880,1685073854,2214570675,2736026428,3191882292,3086339415,2609893441,2080396620,1558940867,1103085003
8.0,1.0,0.0,1155094609,1621524825,2147483648,2673442470,3139872686,3139872686,2673442470,2147483648,1621524825,1155094609
8.0,0.5,1.0,1880437610,2147483648,2414529685,2673442470,2917050301,2414529685,2147483648,1880437610,1621524825,1377916994
8.0,0.5,0.5,1749483631,2013440410,2281526885,2545483664,2797547841,2545483664,2281526885,2013440410,1749483631,1497419454
8.0,0.5,0.25,1685073854,1946744813,2214570675,2480323707,2736026428,2609893441,2348222482,2080396620,1814643588,1558940867
8.0,0.5,0.0,1621524825,1880437610,2147483648,2414529685,2673442470,2673442470,2414529685,2147483648,1880437610,1621524825
8.0,0.25,1.0,2147483648,2281526885,2414529685,2545483664,2673442470,2147483648,2013440410,1880437610,1749483631,1621524825
8.0,0.25,0.5,2013440410,2147483648,2281526885,2414529685,2545483664,2281526885,2147483648,2013440410,1880437610,1749483631
8.0,0.25,0.25,1946744813,2080396620,2214570675,2348222482,2480323707,2348222482,2214570675,2080396620,1946744813,1814643588
8.0,0.25,0.0,1880437610,2013440410,2147483648,2281526885,2414529685,2414529685,2281526885,2147483648,2013440410,1880437610
8.0,0.0,1.0,2414529685,2414529685,2414529685,2414529685,2414529685,1880437610,1880437610,1880437610,1880437610,1880437610
8.0,0.0,0.5,2281526885,2281526885,2281526885,2281526885,2281526885,2013440410,2013440410,2013440410,2013440410,2013440410
8.0,0.0,0.25,2214570675,2214570675,2214570675,2214570675,2214570675,2080396620,2080396620,2080396620,2080396620,2080396620
8.0,0.0,0.0,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648
4.0,1.0,1.0,783511658,1621524825,2673442470,3511455637,3969158893,3511455637,2673442470,1621524825,783511658,325808402
4.0,1.0,0.5,635857873,1377916994,2414529685,3338477482,3885444462,3659109422,2917050301,1880437610,956489813,409522833
4.0,1.0,0.25,571077063,1263643683,2281526885,3242335179,3836734684,3723890232,3031323612,2013440410,1052632116,458232611
4.0,1.0,0.0,511972651,1155094609,2147483648,3139872686,3782994644,3782994644,3139872686,2147483648,1155094609,511972651
4.0,0.5,1.0,1621524825,2147483648,2673442470,3139872686,3511455637,2673442470,2147483648,1621524825,1155094609,783511658
4.0,0.5,0.5,1377916994,1880437610,2414529685,2917050301,3338477482,2917050301,2414529685,1880437610,1377916994,956489813
